Year,Total Annual Floods,Total Annual Large Floods (M>4) ,Total Annual Extreme Floods (M>6)
1985,69,64,11
1986,47,41,15
1987,45,42,8
1988,111,88,25
1989,111,100,20
1990,105,97,26
1991,122,109,20
1992,109,97,27
1993,99,80,18
1994,107,105,25
1995,115,114,37
1996,100,92,30
1997,159,148,37
1998,183,179,47
1999,97,95,35
2000,102,94,26
2001,172,113,17
2002,260,186,40
2003,293,201,68
2004,194,147,46
2005,171,143,57
2006,232,201,57
2007,242,215,76
2008,180,172,59
2009,156,147,39
2010,177,172,57
2011,124,124,51
2012,124,118,38
2013,102,102,49
2014,102,99,51
